,time,open_cnt,c_cnt
2108,2016-07-27 15:53:00,13,12
2109,2016-07-27 15:54:00,18,16
2110,2016-07-27 15:55:00,24,19
2111,2016-07-27 15:56:00,13,17
2112,2016-07-27 15:57:00,20,11
2113,2016-07-27 15:58:00,14,21
2114,2016-07-27 15:59:00,17,23
2115,2016-07-27 16:00:00,22,14
2116,2016-07-27 16:01:00,11,17
2117,2016-07-27 16:02:00,14,18
2118,2016-07-27 16:03:00,16,18
2119,2016-07-27 16:04:00,22,25
2120,2016-07-27 16:05:00,16,18
2121,2016-07-27 16:06:00,13,15
2122,2016-07-27 16:07:00,17,13
2123,2016-07-27 16:08:00,14,9
2124,2016-07-27 16:09:00,15,15
2125,2016-07-27 16:10:00,13,16
2126,2016-07-27 16:11:00,16,14
2127,2016-07-27 16:12:00,14,17
2128,2016-07-27 16:13:00,20,11
2129,2016-07-27 16:14:00,16,24
2130,2016-07-27 16:15:00,20,16
2131,2016-07-27 16:16:00,20,13
2132,2016-07-27 16:17:00,21,21
2133,2016-07-27 16:18:00,10,13
2134,2016-07-27 16:19:00,11,16
2135,2016-07-27 16:20:00,18,10
2136,2016-07-27 16:21:00,18,13
2137,2016-07-27 16:22:00,21,19
2138,2016-07-27 16:23:00,21,16
2139,2016-07-27 16:24:00,17,12
2140,2016-07-27 16:25:00,14,15
2141,2016-07-27 16:26:00,15,17
2142,2016-07-27 16:27:00,12,14
2143,2016-07-27 16:28:00,14,20
2144,2016-07-27 16:29:00,15,10
2145,2016-07-27 16:30:00,13,11
2146,2016-07-27 16:31:00,26,19
2147,2016-07-27 16:32:00,14,15
2148,2016-07-27 16:33:00,16,12
2149,2016-07-27 16:34:00,21,12
2150,2016-07-27 16:35:00,17,15
2151,2016-07-27 16:36:00,23,16
2152,2016-07-27 16:37:00,21,16
2153,2016-07-27 16:38:00,14,15
2154,2016-07-27 16:39:00,17,21
2155,2016-07-27 16:40:00,15,9
2156,2016-07-27 16:41:00,10,12
2157,2016-07-27 16:42:00,13,12
2158,2016-07-27 16:43:00,15,20
2159,2016-07-27 16:44:00,12,17
2160,2016-07-27 16:45:00,25,16
2161,2016-07-27 16:46:00,21,29
2162,2016-07-27 16:47:00,18,14
2163,2016-07-27 16:48:00,13,16
2164,2016-07-27 16:49:00,25,18
2165,2016-07-27 16:50:00,16,15
2166,2016-07-27 16:51:00,14,17
2167,2016-07-27 16:52:00,15,19
2168,2016-07-27 16:53:00,17,15
2169,2016-07-27 16:54:00,18,16
2170,2016-07-27 16:55:00,18,19
2171,2016-07-27 16:56:00,13,15
2172,2016-07-27 16:57:00,16,20
2173,2016-07-27 16:58:00,13,13
2174,2016-07-27 16:59:00,9,15
2175,2016-07-27 17:00:00,16,15
2176,2016-07-27 17:01:00,22,19
2177,2016-07-27 17:02:00,22,14
2178,2016-07-27 17:03:00,16,15
2179,2016-07-27 17:04:00,12,12
2180,2016-07-27 17:05:00,18,16
2181,2016-07-27 17:06:00,18,16
2182,2016-07-27 17:07:00,20,20
2183,2016-07-27 17:08:00,22,17
2184,2016-07-27 17:09:00,18,16
2185,2016-07-27 17:10:00,12,14
2186,2016-07-27 17:11:00,13,9
2187,2016-07-27 17:12:00,14,9
2188,2016-07-27 17:13:00,19,17
2189,2016-07-27 17:14:00,14,19
2190,2016-07-27 17:15:00,15,22
2191,2016-07-27 17:16:00,29,14
2192,2016-07-27 17:17:00,16,20
2193,2016-07-27 17:18:00,15,20
2194,2016-07-27 17:19:00,15,20
